Age,DailyRate,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager,Attrition
41,1102,1,2,94,Sales Executive,4,5993,19479,8,11,1,8,6,5,Yes
49,279,8,3,61,Research Scientist,2,5130,24907,1,23,4,10,10,7,No
37,1373,2,4,92,Laboratory Technician,3,2090,2396,6,15,2,7,0,0,Yes
33,1392,3,4,56,Research Scientist,3,2909,23159,1,11,3,8,8,0,No
27,591,2,1,40,Laboratory Technician,2,3468,16632,9,12,4,6,2,2,No
32,1005,2,4,79,Laboratory Technician,4,3068,11864,0,13,3,8,7,6,No
59,1324,3,3,81,Laboratory Technician,1,2670,9964,4,20,1,12,1,0,No
30,1358,24,4,67,Laboratory Technician,3,2693,13335,1,22,2,1,1,0,No
38,216,23,4,44,Manufacturing Director,3,9526,8787,0,21,2,10,9,8,No
36,1299,27,3,94,Healthcare Representative,3,5237,16577,6,13,2,17,7,7,No
35,809,16,1,84,Laboratory Technician,2,2426,16479,0,13,3,6,5,3,No
29,153,15,4,49,Laboratory Technician,3,4193,12682,0,12,4,10,9,8,No
31,670,26,1,31,Research Scientist,3,2911,15170,1,17,4,5,5,3,No
34,1346,19,2,93,Laboratory Technician,4,2661,8758,0,11,3,3,2,2,No
28,103,24,3,50,Laboratory Technician,3,2028,12947,5,14,2,6,4,3,Yes
29,1389,21,2,51,Manufacturing Director,1,9980,10195,1,11,3,10,10,8,No
32,334,5,1,80,Research Scientist,2,3298,15053,0,12,4,7,6,5,No
22,1123,16,4,96,Laboratory Technician,4,2935,7324,1,13,2,1,1,0,No
53,1219,2,1,78,Manager,4,15427,22021,2,16,3,31,25,7,No
38,371,2,4,45,Research Scientist,4,3944,4306,5,11,3,6,3,2,No
24,673,11,1,96,Manufacturing Director,3,4011,8232,0,18,4,5,4,3,No
36,1218,9,3,82,Sales Representative,1,3407,6986,7,23,2,10,5,3,Yes
34,419,7,1,53,Research Director,2,11994,21293,0,11,3,13,12,11,No
